method_id,result_id,dataset,partition,configuration,metric,value,model,gold_or_provided_entities_K,source,notes
sgpt,T4_SGPTQK_QALD9,QALD-9 English,test,SGPT_Q_K,SP-BLEU,41.88,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_QALD9,QALD-9 English,test,SGPT_Q_K,SP-F1,72.98,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_NSPM_LCQUAD2,LC-QuAD 2.0,test,NSpM baseline (no K block),BLEU,34.74,Bi-LSTM template gen (baseline),no,same,Baseline row in Table 4
sgpt,T4_NSPM_LCQUAD2,LC-QuAD 2.0,test,NSpM,F1,66.47,baseline,no,same,
sgpt,T4_NSPM_LCQUAD2,LC-QuAD 2.0,test,NSpM,SP-BLEU,38.39,baseline,no,same,
sgpt,T4_NSPM_LCQUAD2,LC-QuAD 2.0,test,NSpM,SP-F1,70.78,baseline,no,same,
sgpt,T4_NSPM_VQUANDA,VQuAnDa,test,NSpM,BLEU,37.75,baseline,no,same,
sgpt,T4_NSPM_VQUANDA,VQuAnDa,test,NSpM,F1,59.96,baseline,no,same,
sgpt,T4_NSPM_VQUANDA,VQuAnDa,test,NSpM,SP-BLEU,37.75,baseline,no,same,
sgpt,T4_NSPM_VQUANDA,VQuAnDa,test,NSpM,SP-F1,59.96,baseline,no,same,
sgpt,T4_NSPM_QALD9,QALD-9 English,test,NSpM,BLEU,18.23,baseline,no,same,
sgpt,T4_NSPM_QALD9,QALD-9 English,test,NSpM,F1,45.34,baseline,no,same,
sgpt,T4_NSPM_QALD9,QALD-9 English,test,NSpM,SP-BLEU,24.18,baseline,no,same,
sgpt,T4_NSPM_QALD9,QALD-9 English,test,NSpM,SP-F1,50.53,baseline,no,same,
sgpt,T4_SQG_LCQUAD2,LC-QuAD 2.0,test,SQG (with-K comparison block),BLEU,-,baseline,with_K_block,same,Dash in Table 4 (no score)
sgpt,T4_SQG_VQUANDA,VQuAnDa,test,SQG,BLEU,5.09,baseline,with_K_block,same,
sgpt,T4_SQG_VQUANDA,VQuAnDa,test,SQG,F1,37.70,baseline,with_K_block,same,
sgpt,T4_SQG_VQUANDA,VQuAnDa,test,SQG,SP-BLEU,33.86,baseline,with_K_block,same,
sgpt,T4_SQG_VQUANDA,VQuAnDa,test,SQG,SP-F1,44.67,baseline,with_K_block,same,
sgpt,T4_SQG_QALD9,QALD-9 English,test,SQG,BLEU,4.44,baseline,with_K_block,same,
sgpt,T4_SQG_QALD9,QALD-9 English,test,SQG,F1,27.85,baseline,with_K_block,same,
sgpt,T4_SQG_QALD9,QALD-9 English,test,SQG,SP-BLEU,22.14,baseline,with_K_block,same,
sgpt,T4_SQG_QALD9,QALD-9 English,test,SQG,SP-F1,39.39,baseline,with_K_block,same,
sgpt,T4_TEBAQA_LCQUAD2,LC-QuAD 2.0,test,TeBaQA,BLEU,-,baseline,with_K_block,same,Dash in Table 4
sgpt,T4_TEBAQA_VQUANDA,VQuAnDa,test,TeBaQA,BLEU,13.30,baseline,with_K_block,same,
sgpt,T4_TEBAQA_VQUANDA,VQuAnDa,test,TeBaQA,F1,22.41,baseline,with_K_block,same,
sgpt,T4_TEBAQA_VQUANDA,VQuAnDa,test,TeBaQA,SP-BLEU,13.30,baseline,with_K_block,same,
sgpt,T4_TEBAQA_VQUANDA,VQuAnDa,test,TeBaQA,SP-F1,22.41,baseline,with_K_block,same,
sgpt,T4_TEBAQA_QALD9,QALD-9 English,test,TeBaQA,BLEU,12.82,baseline,with_K_block,same,
sgpt,T4_TEBAQA_QALD9,QALD-9 English,test,TeBaQA,F1,28.81,baseline,with_K_block,same,
sgpt,T4_TEBAQA_QALD9,QALD-9 English,test,TeBaQA,SP-BLEU,17.48,baseline,with_K_block,same,
sgpt,T4_TEBAQA_QALD9,QALD-9 English,test,TeBaQA,SP-F1,32.24,baseline,with_K_block,same,
