rel_file,lineno,kind,module,symbol,asname,top_level,category,conditional
measure.py,1,import_from,utils.metrics,UnigramMetric,,utils,local,False
measure.py,1,import_from,utils.metrics,NGramDiversity,,utils,local,False
measure.py,1,import_from,utils.metrics,CorpusNGramDiversity,,utils,local,False
measure.py,1,import_from,utils.metrics,BLEU,,utils,local,False
measure.py,1,import_from,utils.metrics,METEOR,,utils,local,False
measure.py,1,import_from,utils.metrics,ROUGE,,utils,local,False
measure.py,1,import_from,utils.metrics,SPBLEU,,utils,local,False
measure.py,1,import_from,utils.metrics,SPUnigramMetric,,utils,local,False
measure.py,6,import,argparse,,,argparse,stdlib,False
measure.py,7,import_from,os.path,join,,os,stdlib,False
measure.py,8,import,json,,,json,stdlib,False
measure.py,9,import_from,tqdm,tqdm,,tqdm,third_party,False
scripts/dataset_lcquad2.py,1,import,torch,,,torch,third_party,False
scripts/dataset_lcquad2.py,2,import_from,torch.utils.data,DataLoader,,torch,third_party,False
scripts/dataset_lcquad2.py,2,import_from,torch.utils.data,Dataset,,torch,third_party,False
scripts/dataset_lcquad2.py,3,import_from,utils.dataset_utils,pad_ids,,utils,local,False
scripts/dataset_lcquad2.py,3,import_from,utils.dataset_utils,truncate_sequences,,utils,local,False
scripts/dataset_lcquad2.py,4,import_from,itertools,chain,,itertools,stdlib,False
scripts/dataset_lcquad2.py,5,import_from,tqdm,tqdm,,tqdm,third_party,False
scripts/dataset_lcquad2.py,6,import_from,os.path,join,,os,stdlib,False
scripts/dataset_lcquad2.py,7,import,json,,,json,stdlib,False
scripts/dataset_qald9.py,1,import,torch,,,torch,third_party,False
scripts/dataset_qald9.py,2,import_from,torch.utils.data,DataLoader,,torch,third_party,False
scripts/dataset_qald9.py,2,import_from,torch.utils.data,Dataset,,torch,third_party,False
scripts/dataset_qald9.py,3,import_from,utils.dataset_utils,pad_ids,,utils,local,False
scripts/dataset_qald9.py,3,import_from,utils.dataset_utils,truncate_sequences,,utils,local,False
scripts/dataset_qald9.py,4,import_from,itertools,chain,,itertools,stdlib,False
scripts/dataset_qald9.py,5,import_from,tqdm,tqdm,,tqdm,third_party,False
scripts/dataset_qald9.py,6,import,spacy,,,spacy,third_party,False
scripts/dataset_qald9.py,7,import_from,os.path,join,,os,stdlib,False
scripts/dataset_qald9.py,8,import,json,,,json,stdlib,False
scripts/dataset_vquanda.py,1,import,torch,,,torch,third_party,False
scripts/dataset_vquanda.py,2,import_from,torch.utils.data,DataLoader,,torch,third_party,False
scripts/dataset_vquanda.py,2,import_from,torch.utils.data,Dataset,,torch,third_party,False
scripts/dataset_vquanda.py,3,import_from,utils.dataset_utils,pad_ids,,utils,local,False
scripts/dataset_vquanda.py,3,import_from,utils.dataset_utils,truncate_sequences,,utils,local,False
scripts/dataset_vquanda.py,4,import_from,itertools,chain,,itertools,stdlib,False
scripts/dataset_vquanda.py,5,import_from,tqdm,tqdm,,tqdm,third_party,False
scripts/dataset_vquanda.py,6,import_from,os.path,join,,os,stdlib,False
scripts/dataset_vquanda.py,7,import,json,,,json,stdlib,False
scripts/model.py,1,import,torch,,,torch,third_party,False
scripts/model.py,2,import,torch.nn.functional,,F,torch,third_party,False
scripts/model.py,3,import,logging,,,logging,stdlib,False
scripts/model.py,4,import,torch.nn,,nn,torch,third_party,False
scripts/model.py,5,import,math,,,math,stdlib,False
scripts/model.py,6,import,numpy,,np,numpy,third_party,False
scripts/model.py,7,import_from,transformers.activations,ACT2FN,,transformers,third_party,False
scripts/model.py,8,import_from,torch.nn,CrossEntropyLoss,,torch,third_party,False
scripts/model.py,9,import_from,transformers.modeling_utils,Conv1D,,transformers,third_party,False
scripts/model.py,9,import_from,transformers.modeling_utils,find_pruneable_heads_and_indices,,transformers,third_party,False
scripts/model.py,9,import_from,transformers.modeling_utils,prune_conv1d_layer,,transformers,third_party,False
scripts/model.py,10,import_from,transformers.models.gpt2,GPT2PreTrainedModel,,transformers,third_party,False
scripts/model.py,12,import,json,,,json,stdlib,False
train.py,1,import,argparse,,,argparse,stdlib,False
train.py,2,import,logging,,,logging,stdlib,False
train.py,2,import,json,,,json,stdlib,False
train.py,3,import,torch,,,torch,third_party,False
train.py,4,import_from,tqdm,tqdm,,tqdm,third_party,False
train.py,4,import_from,tqdm,trange,,tqdm,third_party,False
train.py,5,import_from,argparse,Namespace,,argparse,stdlib,False
train.py,6,import_from,typing,Dict,,typing,stdlib,False
train.py,6,import_from,typing,List,,typing,stdlib,False
train.py,6,import_from,typing,Tuple,,typing,stdlib,False
train.py,7,import_from,torch.utils.data,DataLoader,,torch,third_party,False
train.py,7,import_from,torch.utils.data,RandomSampler,,torch,third_party,False
train.py,7,import_from,torch.utils.data,SequentialSampler,,torch,third_party,False
train.py,8,import_from,torch.utils.data.distributed,DistributedSampler,,torch,third_party,False
train.py,9,import_from,transformers,AdamW,,transformers,third_party,False
train.py,9,import_from,transformers,AutoConfig,,transformers,third_party,False
train.py,9,import_from,transformers,AutoTokenizer,,transformers,third_party,False
train.py,9,import_from,transformers,PreTrainedModel,,transformers,third_party,False
train.py,9,import_from,transformers,PreTrainedTokenizer,,transformers,third_party,False
train.py,9,import_from,transformers,get_linear_schedule_with_warmup,,transformers,third_party,False
train.py,18,import_from,scripts.model,run_batch_generation,,scripts,local,False
train.py,18,import_from,scripts.model,GPT2LMHeadModel,,scripts,local,False
train.py,20,import,os,,,os,stdlib,False
train.py,21,import_from,utils.args,set_default_params,,utils,local,False
train.py,21,import_from,utils.args,update_additional_params,,utils,local,False
train.py,25,import_from,torch.optim,lr_scheduler,,torch,third_party,False
train.py,26,import,random,,,random,stdlib,False
train.py,27,import,numpy,,np,numpy,third_party,False
train.py,29,import_from,torch.utils.tensorboard,SummaryWriter,,torch,third_party,True
train.py,31,import_from,tensorboardX,SummaryWriter,,tensorboardX,third_party,True
train.py,257,import_from,scripts.dataset_lcquad2,EvalDataset,,scripts,local,True
train.py,257,import_from,scripts.dataset_lcquad2,Dataset,,scripts,local,True
train.py,257,import_from,scripts.dataset_lcquad2,SPECIAL_TOKENS,,scripts,local,True
train.py,259,import_from,scripts.dataset_vquanda,EvalDataset,,scripts,local,True
train.py,259,import_from,scripts.dataset_vquanda,Dataset,,scripts,local,True
train.py,259,import_from,scripts.dataset_vquanda,SPECIAL_TOKENS,,scripts,local,True
train.py,261,import_from,scripts.dataset_qald9,EvalDataset,,scripts,local,True
train.py,261,import_from,scripts.dataset_qald9,Dataset,,scripts,local,True
train.py,261,import_from,scripts.dataset_qald9,SPECIAL_TOKENS,,scripts,local,True
train.py,67,import_from,apex,amp,,apex,third_party,True
utils/args.py,1,import,logging,,,logging,stdlib,False
utils/args.py,2,import,os,,,os,stdlib,False
utils/args.py,3,import,torch,,,torch,third_party,False
utils/data.py,1,import,os,,,os,stdlib,False
utils/data.py,2,import,re,,,re,stdlib,False
utils/data.py,3,import,json,,,json,stdlib,False
utils/data.py,4,import,logging,,,logging,stdlib,False
utils/dptree.py,1,import,spacy,,,spacy,third_party,False
utils/dptree.py,2,import,json,,,json,stdlib,False
utils/dptree.py,3,import_from,tqdm,tqdm,,tqdm,third_party,False
utils/dptree.py,8,import_from,transformers,AutoTokenizer,,transformers,third_party,False
utils/metrics.py,1,import,numpy,,np,numpy,third_party,False
utils/metrics.py,2,import,json,,,json,stdlib,False
utils/metrics.py,3,import_from,nltk,bigrams,get_bigrams,nltk,third_party,False
utils/metrics.py,4,import_from,nltk,trigrams,get_trigrams,nltk,third_party,False
utils/metrics.py,5,import_from,nltk,word_tokenize,,nltk,third_party,False
utils/metrics.py,5,import_from,nltk,ngrams,,nltk,third_party,False
utils/metrics.py,6,import_from,nltk.translate.bleu_score,sentence_bleu,,nltk,third_party,False
utils/metrics.py,7,import_from,nltk.translate.meteor_score,single_meteor_score,,nltk,third_party,False
utils/metrics.py,8,import_from,collections,Counter,,collections,stdlib,False
utils/metrics.py,9,import,math,,,math,stdlib,False
utils/metrics.py,11,import_from,utils.data,normalize,,utils,local,False
